mu_intercept,mu_slope
-0.179753647436844,-0.349112051492783
-0.166651917235673,-0.376727558927422
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.166651917235673,-0.376727558927422
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.166651917235673,-0.376727558927422
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.166651917235673,-0.376727558927422
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.166651917235673,-0.376727558927422
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.349112051492783
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.43329953061821
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.43329953061821
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.43329953061821
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.254596781901172
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.43329953061821
-0.184979555667233,-0.368952317402065
-0.0796681061237109,-0.269956961719438
-0.195454545036678,-0.365269208554501
-0.252061261994359,-0.178391540986447
-0.179753647436844,-0.43329953061821
-0.184979555667233,-0.368952317402065
